param_id,label,category,csv_column,unit,data_type,risk_direction,weight,target_year,description,source,active
aging,高齢化率,population,高齢化率,%,公開データ,positive,0.08,令和7年度,65歳以上人口の割合。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,True
old75,75歳以上人口割合,population,75歳以上人口割合,%,公開データ,positive,0.05,令和7年度,75歳以上人口の割合。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,True
single_elderly,単身高齢者割合,population,単身高齢者割合,%,公開データ,positive,0.08,令和7年度,単身高齢者の割合。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,True
population_decline,人口減少傾向,population,人口減少傾向,指数(0-100),公開データ,positive,0.04,令和7年度,人口減少の程度を0〜100で表したデモ指標。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,True
medical,医療アクセス,mobility_env,医療アクセス,指数(0-100),行政保有データ,negative,0.06,令和7年度,医療機関へのアクセスのしやすさ。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,True
mobility,公共交通・移動のしやすさ,mobility_env,移動系,指数(0-100),公開データ,negative,0.13,令和7年度,公共交通・通院・買い物等の移動のしやすさ。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,True
shopping_access,買い物アクセス,mobility_env,買い物アクセス,指数(0-100),その他,negative,0.06,令和7年度,食品・日用品の買い物へのアクセスのしやすさ。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,True
care_risk,要支援・要介護リスク,care_health,要支援・要介護リスク,%,アンケート,positive,0.08,令和7年度,高齢期アンケートを想定した要支援・要介護リスク。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,True
dementia_risk,認知症リスク,care_health,認知症リスク,%,アンケート,positive,0.06,令和7年度,高齢期アンケートを想定した認知症リスク。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,True
homebound_risk,閉じこもりリスク,care_health,閉じこもりリスク,%,アンケート,positive,0.08,令和7年度,外出状況等から把握する閉じこもりリスク。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,True
social_capital,ソーシャルキャピタル,social_ties,ソーシャルキャピタル,%,アンケート,negative,0.07,令和7年度,地域のつながり・社会参加を表す指標。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,True
gathering_participation,通いの場参加割合,social_ties,通いの場参加割合,%,行政保有データ,negative,0.06,令和7年度,地域の通いの場等への参加割合。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,True
instrumental_support,手段的サポート受領割合,social_ties,手段的サポート受領割合,%,アンケート,negative,0.06,令和7年度,看病・介護等を頼める相手がいる人の割合を想定。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,True
meal_service,配食,welfare_service,配食,指数(0-100),行政保有データ,negative,0.05,令和7年度,配食サービスの充足度・カバー状況。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,True
emergency_alert,緊急通報,welfare_service,緊急通報,指数(0-100),行政保有データ,negative,0.04,令和7年度,緊急通報サービスの充足度・カバー状況。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,True
care_cert_rate,要介護認定率,care_health,要介護認定率,%,行政保有データ,positive,0.0,令和7年度,要介護認定率。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,False
fall_risk,転倒リスク,care_health,転倒リスク,%,アンケート,positive,0.0,令和7年度,高齢期アンケートを想定した転倒リスク。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,False
frailty_risk,虚弱リスク,care_health,虚弱リスク,%,アンケート,positive,0.0,令和7年度,高齢期アンケートを想定した虚弱リスク。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,False
memory_risk,物忘れリスク,care_health,物忘れリスク,%,アンケート,positive,0.0,令和7年度,高齢期アンケートを想定した物忘れリスク。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,False
transit_use,公共交通利用割合,mobility_env,公共交通利用割合,%,アンケート,negative,0.0,令和7年度,公共交通を利用する人の割合。,宇都宮市「地域別データ分析ブック」参考（デモ用仮データ）,False
