category,municipality,prefecture,policy_name,description,target,cost,frequency,features,url,source,updated_at
mobility,小山市,栃木県,移送サービス,公共交通機関の利用が困難な在宅の高齢者に対し、タクシーにより医療機関等への送迎を行う制度。,65歳以上の一人暮らしまたは高齢者のみ世帯で、公共交通機関の利用が困難で自家用車も利用できない方（要件を満たせば要介護認定者も利用可）,自宅～医療機関：3kmまで400円/6kmまで800円/9kmまで1650円/12kmまで2450円/15kmまで3100円/18kmまで4200円、自宅～いきいきふれあいセンター：6kmまで400円,月2枚、年間24枚までタクシー利用券を交付,タクシー利用券方式。高齢者サポートセンター等がケアプランを作成のうえ申請,https://www.city.oyama.tochigi.jp/site/shinsei-navi/520.html,小山市公式ホームページ,2026-08-18
mobility,久喜市,埼玉県,デマンド交通「くきまる」,公共交通不便地域（菖蒲地区、栗橋・鷲宮地区）を対象に運行する予約制のデマンド交通。,運行対象エリアの住民（高齢者・障がい者等の交通弱者を含む）,公式ページで確認できず,公式ページで確認できず,予約制。運行エリアを地区ごとに設定,https://www.city.kuki.lg.jp/kurashi/kotsu/demand/1003440.html,久喜市ホームページ,2026-08-18
mobility,朝来市,兵庫県,AIデマンド型乗合交通,予約状況に応じてAIがルートを作成しながら運行するデマンド型乗合交通。固定の時刻表・ルートを持たない。,市内在住で事前に自宅登録した市民（小学生以上）,公式ページで確認できず,事前予約制（電話またはアプリ、乗車の2時間前まで等）,AIが乗合ルートを都度作成。市外の方は自宅登録不可,https://www.city.asago.hyogo.jp/site/demandkotsu/,朝来市公式ホームページ,2026-08-18
meal_service,広島市,広島県,高齢者配食サービス,見守りが必要な高齢者を対象に、食事の届け時に安否確認を行う配食サービス。,おおむね65歳以上、一人暮らし等の高齢者のみ世帯（準ずる世帯含む）で、虚弱により調理が困難な方,1食あたり514円程度（配食事業者へ直接支払い）,原則週5日以上（介護保険の通所介護・訪問介護等を利用中の場合は週3日以上でも可）,配達時に異常があれば緊急連絡先へ連絡。区ごとに委託事業者を選択,https://www.city.hiroshima.lg.jp/living/fukushi-kaigo/1014902/1025759/1025760/1003211.html,広島市公式ウェブサイト,2026-08-18
meal_service,豊島区,東京都,高齢者等配食事業,栄養バランスのとれた食事を自宅に配送する事業。安否確認サービスを行う事業者もある。,高齢者（配食自体は高齢者に限らずどなたでも利用可）,公式ページで確認できず,公式ページで確認できず,複数の民間配食事業者と連携。安否確認サービスの有無は事業者により異なる,https://www.city.toshima.lg.jp/379/kenko/koresha/hitorigurashi/000028.html,豊島区公式ホームページ,2026-08-18
meal_service,深谷市,埼玉県,高齢者配食サービス事業,自ら食事の用意が難しい在宅高齢者に配食を行い、本人への手渡しにより安否確認を実施。,安否確認を必要とする65歳以上の方,普通食1食320円、特別食（カロリー食・低たんぱく食・やわらか食・透析食・消化にやさしい食・ムース食）1食450円,昼食を月～土曜のうち希望する曜日（年末年始を除く）,本人に直接手渡し。不在等で安否確認できない場合は緊急連絡先へ連絡,https://www.city.fukaya.saitama.jp/soshiki/fukushikenko/chojufukushi/tanto/seikatsushien/13849.html,深谷市ホームページ,2026-08-18
emergency_alert,東大阪市,大阪府,緊急通報装置レンタル事業,急病等の緊急時にボタン通報できる装置を貸与する事業。,おおむね65歳以上の一人暮らしの方／おおむね65歳以上のねたきりの方等を抱える世帯,公式ページで確認できず,公式ページで確認できず,NTTアナログ回線推奨（CATV回線等は利用不可の場合あり）。携帯型は固定電話回線がない方向け,https://www.city.higashiosaka.lg.jp/0000004261.html,東大阪市公式ホームページ,2026-08-18
emergency_alert,長野市,長野県,緊急通報装置の貸与,緊急通報装置本体・火災報知機・安否確認用人感センサーを貸し出す事業。,一人暮らし高齢者等,携帯電話回線型：月額600円（4か月ごと口座振替）,公式ページで確認できず,設置申出には民生委員の確認（署名）が必要,https://www.city.nagano.nagano.jp/n101200/contents/p002419.html,長野市公式ホームページ,2026-08-18
emergency_alert,広島市,広島県,あんしん電話設置（高齢者）,自宅での急病・事故等の緊急時に通報機器のボタンを押すと電話相談センターが通報を受信し、協力員や消防局へ連絡する事業。健康相談・月1回以上の声かけも実施。,機器を正しく操作できる病弱な一人暮らし高齢者（おおむね65歳以上）等で、協力員を原則2人確保できる方,固定電話型：市民税課税世帯 月額1683円／非課税世帯 月額169円／生活保護受給世帯等 無料。携帯電話型：課税2233円／非課税224円／生活保護無料,常時（365日24時間対応）、月1回以上の定期声かけ,固定電話型・携帯電話型の2種類。午後8時～翌8時は協力員不在時に警備会社等が駆け付け,https://www.city.hiroshima.lg.jp/living/fukushi-kaigo/1014902/1025759/1025760/1015440.html,広島市公式ウェブサイト,2026-08-18
daily_supplies,東大阪市,大阪府,日常生活用具給付事業,日常生活の安全に役立つ用具（火災警報器等）を給付する事業。,65歳以上の一人暮らし高齢者等,公式ページで確認できず,公式ページで確認できず,振り込め詐欺被害等防止機器の無償貸与も別事業として実施,https://www.city.higashiosaka.lg.jp/0000004261.html,東大阪市公式ホームページ,2026-08-18
daily_supplies,広島市,広島県,（高齢者）日常生活用具の給付,在宅で一人暮らし等の高齢者に自動消火器と卓上電磁調理器を給付する制度。,市内在住40歳以上で要介護・要支援認定を受けている方等,所得区分に応じ自動消火器0円～60500円、電磁調理器0円～11990円（生活保護・市民税非課税世帯は無料）,自動消火器は耐用年数10年経過後に再給付可,根拠規程：広島市高齢者等日常生活用具給付事業実施要綱,https://www.city.hiroshima.lg.jp/living/fukushi-kaigo/1014902/1025759/1025760/1015438.html,広島市公式ウェブサイト,2026-08-18
