地区名,高齢化率,75歳以上人口割合,単身高齢者割合,人口減少傾向,医療アクセス,移動系,買い物アクセス,要支援・要介護リスク,認知症リスク,閉じこもりリスク,ソーシャルキャピタル,通いの場参加割合,手段的サポート受領割合,配食,緊急通報,要介護認定率,転倒リスク,虚弱リスク,物忘れリスク,公共交通利用割合,歩いて行ける運動施設,自治会加入割合,スポーツグループ参加,趣味活動参加,運動習慣,十分な休養,かかりつけ歯科医あり,日常生活用具,地域サロン・介護予防活動,緯度,経度
石井地区,30.9,16.8,20.3,50.0,73.5,82.8,62.4,34.0,24.8,20.6,54.3,33.9,61.7,56.5,41.9,13.4,24.6,23.1,20.8,48.6,56.7,58.8,27.5,35.2,36.7,58.5,61.6,66.8,44.2,36.55069,139.912817
泉が丘地区,33.2,20.3,19.8,60.0,75.3,70.8,72.0,38.1,34.2,17.2,53.1,29.9,68.7,51.7,37.9,11.0,30.0,19.6,24.9,44.4,50.4,67.9,26.1,25.0,42.2,67.0,66.9,73.3,30.6,36.557666,139.91283
今泉地区,27.2,15.7,18.1,31.4,88.9,82.0,78.2,32.9,24.0,21.7,46.7,28.0,63.7,27.1,46.3,12.1,27.8,22.3,24.4,49.0,55.8,65.2,16.9,30.3,45.8,61.0,73.1,57.8,37.7,36.564845,139.941692
上河内地区,33.6,22.2,23.0,48.7,37.5,34.6,31.0,34.5,30.2,26.9,51.8,33.0,65.9,58.7,37.9,11.2,32.1,23.1,28.9,26.9,27.1,79.1,26.6,25.8,27.6,71.7,70.0,42.4,46.4,36.578825,139.937195
河内地区,39.3,22.8,21.1,74.7,31.5,54.7,48.4,37.2,36.9,23.0,51.4,39.2,73.6,45.0,53.8,14.5,25.7,19.7,29.1,37.6,32.8,86.4,22.2,29.8,46.2,53.6,58.6,58.3,59.0,36.598171,139.942179
清原地区,27.4,16.3,19.6,36.9,66.0,56.1,65.3,27.7,22.0,26.0,49.3,34.3,60.0,49.2,38.9,10.6,22.7,15.0,18.0,32.2,56.9,65.1,24.1,26.7,38.7,57.4,63.2,47.3,51.4,36.615215,139.959772
国本地区,37.3,24.7,21.7,59.2,38.7,39.9,33.9,34.9,32.0,20.5,73.3,39.9,76.8,48.1,54.3,14.4,31.7,25.2,20.3,14.5,31.5,76.6,36.8,41.5,45.5,54.1,67.3,86.0,38.6,36.636816,139.925636
五代若松原地区,28.6,18.6,13.8,42.1,70.8,58.4,64.7,24.0,25.2,24.4,60.6,46.1,68.4,67.7,40.9,12.6,23.3,16.8,19.6,35.6,62.2,65.5,29.5,28.1,52.0,53.3,73.7,62.9,70.2,36.565484,139.933484
桜地区,28.2,15.4,22.5,44.5,57.6,83.1,60.8,27.2,31.7,22.4,58.2,33.6,70.1,42.4,62.7,12.2,21.1,19.4,25.9,38.1,48.9,56.8,26.8,28.4,54.3,59.5,67.4,31.0,41.3,36.572719,139.921147
篠井地区,39.3,22.0,21.9,71.8,23.7,28.4,37.9,40.1,35.7,34.6,62.9,34.1,68.5,41.2,67.4,13.8,26.6,24.1,26.1,22.2,20.0,81.4,28.2,33.8,35.0,60.0,64.2,74.6,37.2,36.590371,139.875588
城東地区,29.1,16.2,14.5,15.7,85.2,87.7,87.3,24.0,30.0,17.4,53.1,43.0,63.0,49.4,58.7,10.6,25.7,15.0,23.6,52.5,60.6,64.4,28.0,31.2,40.7,65.3,62.9,77.9,56.9,36.610066,139.883868
昭和地区,27.4,15.9,20.4,26.0,95.3,76.0,76.8,30.9,24.0,17.0,41.8,25.1,68.7,51.0,57.3,10.9,22.5,15.0,25.3,37.1,66.2,49.3,19.6,22.3,43.1,62.0,60.5,49.1,47.6,36.613164,139.877775
城山地区,39.8,24.0,25.3,68.5,31.3,43.8,36.1,41.6,36.4,37.4,68.4,43.6,73.1,53.8,43.2,12.8,38.8,24.0,19.2,27.3,23.5,83.7,35.6,44.1,31.4,58.5,62.8,79.0,52.0,36.626152,139.881752
姿川地区,29.6,17.7,19.8,52.3,46.2,60.3,47.7,30.0,27.3,22.0,61.8,33.4,63.3,43.2,47.7,11.7,21.1,15.0,24.6,34.5,45.9,74.9,21.1,28.5,34.0,60.0,64.8,49.8,28.0,36.629677,139.854982
雀宮地区,31.5,19.6,14.1,40.9,42.2,59.8,61.2,31.1,20.0,28.6,71.0,45.7,73.7,42.7,39.1,13.2,23.2,26.3,23.7,35.8,41.5,76.6,32.9,47.2,45.0,63.8,75.2,70.9,61.9,36.560139,139.834751
宝木地区,25.9,15.2,17.7,36.6,56.6,82.4,74.6,25.8,23.7,24.9,66.2,49.7,69.6,48.3,51.7,11.5,24.6,15.0,22.0,39.6,50.2,63.8,22.8,36.4,35.5,65.7,74.1,51.5,54.4,36.562972,139.810516
中央地区,25.7,15.7,16.2,46.6,73.5,80.2,96.0,30.4,25.0,23.9,47.8,32.7,64.0,47.0,37.4,8.0,28.3,15.0,20.9,56.3,65.3,58.4,15.0,23.3,42.0,59.4,71.1,59.8,43.0,36.586426,139.792518
戸祭地区,26.6,14.7,17.5,24.8,87.8,79.7,83.1,34.4,25.9,20.6,55.0,35.1,71.2,49.6,46.0,11.1,30.0,19.6,18.0,47.9,61.2,60.7,24.5,29.7,46.9,65.1,68.8,49.7,35.0,36.57089,139.772633
富屋地区,34.4,18.6,25.8,72.1,28.2,28.5,36.6,41.8,39.0,29.6,65.6,44.2,72.4,46.2,67.6,13.9,36.0,26.9,21.8,20.6,24.8,90.0,30.1,35.0,35.7,71.3,65.9,59.7,57.9,36.577647,139.87162
豊郷地区,29.4,17.4,15.8,61.4,52.1,53.8,52.0,33.8,33.2,29.2,76.4,49.2,62.6,41.1,42.8,12.0,30.4,15.8,29.8,36.8,38.8,57.8,36.2,44.7,30.1,62.6,64.9,58.8,61.9,36.566573,139.847569
西地区,26.0,16.3,17.8,43.5,74.6,92.8,96.0,24.0,21.9,17.0,45.5,33.7,66.0,52.8,37.7,9.1,22.4,15.0,18.0,54.8,63.4,60.7,18.4,34.8,34.9,60.9,57.3,49.6,36.8,36.551993,139.841855
錦地区,23.6,13.7,14.8,57.7,63.7,71.8,61.2,24.3,25.7,21.5,67.3,43.8,72.0,47.2,38.2,8.0,20.0,15.0,23.8,26.6,40.6,64.0,27.8,33.1,42.9,70.9,60.2,75.4,45.7,36.54976,139.830778
西原地区,28.5,14.9,23.8,50.2,58.9,37.8,77.1,31.4,29.4,29.6,67.0,42.3,71.7,45.4,46.2,10.8,32.7,15.3,23.0,18.0,58.8,60.4,38.1,32.6,48.5,75.3,77.6,46.1,55.7,36.539241,139.824243
