地区名,高齢化率,単身高齢者割合,医療アクセス,公共交通,緯度,経度
中央地区,39.3,24.3,78.4,25.4,36.576999,139.909744
北部地区,31.0,29.7,34.6,53.1,36.51187,139.878175
南部地区,41.5,18.3,55.0,33.2,36.519089,139.893238
東部地区,37.4,11.8,23.3,68.6,36.495983,139.9252
西部地区,22.4,21.6,31.6,50.0,36.589531,139.904355
緑ヶ丘地区,44.4,6.9,71.2,81.6,36.574882,139.891373
川沿い地区,39.0,29.8,75.9,71.0,36.57972,139.892273
山手地区,39.7,23.9,92.6,40.0,36.588787,139.851432
駅前地区,23.2,27.7,44.4,81.6,36.55017,139.807731
新興住宅地区,31.3,15.6,47.8,79.4,36.563349,139.872675
田園地区,29.3,34.1,55.2,46.0,36.511876,139.837134
臨海地区,43.2,31.8,34.2,38.1,36.508844,139.868165
